symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,yearLow,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,meta
PNB,,EQ,121.4,122.58,121.35,122.3,121.07,1.23,1.02,7534146,918563080.32,124.48,85.46,1.7512853470437073,-43.10788673063422,22.84,5.25,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/PNBEQN.svg,https://nsearchives.nseindia.com/30d/PNB-EQ.svg,https://nsearchives.nseindia.com/365d/PNB-EQ.svg,
SUNPHARMA,,EQ,1737.4,1760.1,1734.7,1755,1737.4,17.6,1.01,1667322,2921881765.68,1910,1548,8.115183246073299,-13.372093023255815,-0.63,5.91,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/SUNPHARMAEQN.svg,https://nsearchives.nseindia.com/30d/SUNPHARMA-EQ.svg,https://nsearchives.nseindia.com/365d/SUNPHARMA-EQ.svg,
TORNTPOWER,,EQ,1293.6,1310,1280.7,1306.6,1293.6,13.0,1.0,429192,554889461.04,1719.85,1188,24.028258278338228,-9.983164983164976,-16.55,-2.74,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/TORNTPOWEREQN.svg,https://nsearchives.nseindia.com/30d/TORNTPOWER-EQ.svg,https://nsearchives.nseindia.com/365d/TORNTPOWER-EQ.svg,
DRREDDY,,EQ,1235.2,1249,1231.8,1246.9,1234.9,12.0,0.97,827643,1029455469.12,1405.9,1020,11.30948147094388,-22.245098039215694,1.57,0.47,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/DRREDDYEQN.svg,https://nsearchives.nseindia.com/30d/DRREDDY-EQ.svg,https://nsearchives.nseindia.com/365d/DRREDDY-EQ.svg,
ABB,,EQ,4913,4963,4899,4960,4913,47.0,0.96,120184,593040736.96,7960,4684.45,37.688442211055275,-5.882227369274946,-25.86,-4.98,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/ABBEQN.svg,https://nsearchives.nseindia.com/30d/ABB-EQ.svg,https://nsearchives.nseindia.com/365d/ABB-EQ.svg,
COALINDIA,,EQ,383.2,387.35,382.3,386.75,383.2,3.55,0.93,3760163,1449618039.76,427.45,349.25,9.521581471517134,-10.73729420186113,-5.56,-0.17,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/COALINDIAEQN.svg,https://nsearchives.nseindia.com/30d/COALINDIA-EQ.svg,https://nsearchives.nseindia.com/365d/COALINDIA-EQ.svg,
SIEMENS,,EQ,3070,3105,3037.7,3093.4,3066.1,27.3,0.89,284674,876605188.42,8035.95,2450,61.50548472800353,-26.26122448979592,-54.22,-1.12,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/SIEMENSEQN.svg,https://nsearchives.nseindia.com/30d/SIEMENS-EQ.svg,https://nsearchives.nseindia.com/365d/SIEMENS-EQ.svg,
BHARATFORG,,EQ,1377,1405,1368,1400,1388.8,11.2,0.81,1232599,1703414840.03,1411,919.1,0.7795889440113395,-52.32292460015232,5.11,10.39,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/BHARATFORGEQN.svg,https://nsearchives.nseindia.com/30d/BHARATFORG-EQ.svg,https://nsearchives.nseindia.com/365d/BHARATFORG-EQ.svg,
ASIANPAINT,,EQ,2865.1,2909.9,2862,2902,2879.4,22.6,0.78,2494076,7230226560.96,2909.9,2124.75,0.27148699268016396,-36.58077420873044,17.04,20.61,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/ASIANPAINTEQN.svg,https://nsearchives.nseindia.com/30d/ASIANPAINT-EQ.svg,https://nsearchives.nseindia.com/365d/ASIANPAINT-EQ.svg,
GLENMARK,,EQ,1890,1931.9,1855,1895,1880.6,14.4,0.77,1808669,3439039409.98,2284.8,1275.5,17.06057422969188,-48.569188553508425,23.6,1.67,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/GLENMARKEQN.svg,https://nsearchives.nseindia.com/30d/GLENMARK-EQ.svg,https://nsearchives.nseindia.com/365d/GLENMARK-EQ.svg,
PAGEIND,,EQ,39500,39985,38765,39890,39585,305.0,0.77,36040,1427873445.2,50590,38765,21.150424985174936,-2.90210241196956,-12.37,-3.06,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/PAGEINDEQN.svg,https://nsearchives.nseindia.com/30d/PAGEIND-EQ.svg,https://nsearchives.nseindia.com/365d/PAGEIND-EQ.svg,
DELHIVERY,,EQ,434.05,439.85,433.1,437.4,434.05,3.35,0.77,1449477,632580752.34,490,236.53,10.734693877551024,-84.9236883270621,32.02,-2.33,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/DELHIVERYEQN.svg,https://nsearchives.nseindia.com/30d/DELHIVERY-EQ.svg,https://nsearchives.nseindia.com/365d/DELHIVERY-EQ.svg,
HINDUNILVR,,EQ,2405.1,2430.2,2392,2426,2407.6,18.4,0.76,975973,2362479282.72,2750,2136,11.781818181818181,-13.576779026217228,1.61,-5.22,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/HINDUNILVREQN.svg,https://nsearchives.nseindia.com/30d/HINDUNILVR-EQ.svg,https://nsearchives.nseindia.com/365d/HINDUNILVR-EQ.svg,
DIXON,,EQ,15299,15570,15232,15440,15323,117.0,0.76,254561,3930510936.35,19148.9,12202.2,19.368736585391332,-26.534559341758037,4.35,-8.46,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/DIXONEQN.svg,https://nsearchives.nseindia.com/30d/DIXON-EQ.svg,https://nsearchives.nseindia.com/365d/DIXON-EQ.svg,
AMBUJACEM,,EQ,562.5,564.8,558.7,563.4,559.35,4.05,0.72,1082167,608870440.88,624.95,453.05,9.848787903032253,-24.357134974064664,3.43,-1.14,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/AMBUJACEMEQN.svg,https://nsearchives.nseindia.com/30d/AMBUJACEM-EQ.svg,https://nsearchives.nseindia.com/365d/AMBUJACEM-EQ.svg,
MCX,,EQ,9575,9744,9439.5,9665,9597,68.0,0.71,442979,4267256575.11,9764,4408.15,1.0139287177386318,-119.25297460385877,62.44,3.6,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/MCXEQN.svg,https://nsearchives.nseindia.com/30d/MCX-EQ.svg,https://nsearchives.nseindia.com/365d/MCX-EQ.svg,
POLICYBZR,,EQ,1741.9,1748,1715,1746.7,1734.7,12.0,0.69,1048282,1813360134.88,2246.9,1311.35,22.261782900885667,-33.19861211728373,0.82,2.81,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/POLICYBZREQN.svg,https://nsearchives.nseindia.com/30d/POLICYBZR-EQ.svg,https://nsearchives.nseindia.com/365d/POLICYBZR-EQ.svg,
LICI,,EQ,900,910.75,897.6,909,902.85,6.15,0.68,830405,752164240.9,1007.8,715.3,9.803532446914067,-27.079547043198666,0.09,1.71,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/LICIEQN.svg,https://nsearchives.nseindia.com/30d/LICI-EQ.svg,https://nsearchives.nseindia.com/365d/LICI-EQ.svg,
IDFCFIRSTB,,EQ,80,81,79.75,80.54,80,0.54,0.68,16081514,1293114540.74,82.7,52.46,2.611850060459488,-53.52649637819292,26.84,12.04,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/IDFCFIRSTBEQN.svg,https://nsearchives.nseindia.com/30d/IDFCFIRSTB-EQ.svg,https://nsearchives.nseindia.com/365d/IDFCFIRSTB-EQ.svg,
MANKIND,,EQ,2257,2286.7,2252.6,2272,2257,15.0,0.66,606234,1374205168.86,3054.8,2115.1,25.625245515254683,-7.418088979244485,-12.72,-7.67,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/MANKINDEQN.svg,https://nsearchives.nseindia.com/30d/MANKIND-EQ.svg,https://nsearchives.nseindia.com/365d/MANKIND-EQ.svg,
UNIONBANK,,EQ,151.76,153.74,151.53,152.9,151.9,1.0,0.66,8855570,1350917203.5,158.65,100.81,3.624330286794831,-51.671461164567006,34.12,10.05,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/UNIONBANKEQN.svg,https://nsearchives.nseindia.com/30d/UNIONBANK-EQ.svg,https://nsearchives.nseindia.com/365d/UNIONBANK-EQ.svg,
TIINDIA,,EQ,3044.6,3075,3019,3053,3033.4,19.6,0.65,214533,655685789.22,3825,2407.1,20.18300653594771,-26.833118690540488,-10.84,-3.5,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/TIINDIAEQN.svg,https://nsearchives.nseindia.com/30d/TIINDIA-EQ.svg,https://nsearchives.nseindia.com/365d/TIINDIA-EQ.svg,
RBLBANK,,EQ,315.25,319.5,314.35,317.5,315.45,2.05,0.65,5156226,1633698645.84,332,146.1,4.367469879518072,-117.31690622861055,105.94,3.88,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/RBLBANKEQN.svg,https://nsearchives.nseindia.com/30d/RBLBANK-EQ.svg,https://nsearchives.nseindia.com/365d/RBLBANK-EQ.svg,
UNITDSPR,,EQ,1419,1432.4,1412.8,1430,1420.8,9.2,0.65,335913,478800312.81,1700,1271.1,15.882352941176471,-12.500983400204555,-0.9,5.17,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/UNITDSPREQN.svg,https://nsearchives.nseindia.com/30d/UNITDSPR-EQ.svg,https://nsearchives.nseindia.com/365d/UNITDSPR-EQ.svg,
LTF,,EQ,291.95,296.75,290.15,294.1,292.2,1.9,0.65,4821228,1419996282.84,308.25,129.2,4.590429845904291,-127.63157894736847,113.91,9.27,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/LTFEQN.svg,https://nsearchives.nseindia.com/30d/LTF-EQ.svg,https://nsearchives.nseindia.com/365d/LTF-EQ.svg,
ITC,,EQ,404.7,408.75,400.1,408.25,405.7,2.55,0.63,64020258,25697091358.62,491,390.15,16.85336048879837,-4.639241317442016,-12.4,0.74,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/ITCEQN.svg,https://nsearchives.nseindia.com/30d/ITC-EQ.svg,https://nsearchives.nseindia.com/365d/ITC-EQ.svg,
OBEROIRLTY,,EQ,1748,1763.7,1733.8,1755,1744.2,10.8,0.62,183727,321042722.53,2343.65,1451.95,25.116804983679305,-20.871930851613346,-11.51,3.87,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/OBEROIRLTYEQN.svg,https://nsearchives.nseindia.com/30d/OBEROIRLTY-EQ.svg,https://nsearchives.nseindia.com/365d/OBEROIRLTY-EQ.svg,
SBILIFE,,EQ,1982.6,2003.9,1977.8,2000,1987.9,12.1,0.61,678599,1350602017.72,2017.9,1372.55,0.8870608057882001,-45.71418163272741,28.07,9.0,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/SBILIFEEQN.svg,https://nsearchives.nseindia.com/30d/SBILIFE-EQ.svg,https://nsearchives.nseindia.com/365d/SBILIFE-EQ.svg,
PFC,,EQ,373.25,375.45,371.15,375.15,372.9,2.25,0.6,4954031,1848200345.17,523.9,357.25,28.392823057835464,-5.01049685094471,-17.62,-6.71,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/PFCEQN.svg,https://nsearchives.nseindia.com/30d/PFC-EQ.svg,https://nsearchives.nseindia.com/365d/PFC-EQ.svg,
AUBANK,,EQ,886,894.55,882.5,891.9,886.7,5.2,0.59,1668762,1485331680.96,922.9,478.35,3.358977137284646,-86.45343367826904,55.18,11.53,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/AUBANKEQN.svg,https://nsearchives.nseindia.com/30d/AUBANK-EQ.svg,https://nsearchives.nseindia.com/365d/AUBANK-EQ.svg,
NTPC,,EQ,327,329.9,326.2,328.85,326.95,1.9,0.58,9169855,3007895837.1,387.6,292.8,15.15737874097007,-12.312158469945357,-11.83,-3.82,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/NTPCEQN.svg,https://nsearchives.nseindia.com/30d/NTPC-EQ.svg,https://nsearchives.nseindia.com/365d/NTPC-EQ.svg,
