symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,yearLow,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,meta
MAXHEALTH,,EQ,1093.7,1106.4,1085.3,1101.9,1098,3.9,0.36,1658556,1823880862.08,1314.3,936.25,16.160693905501017,-17.692923898531383,9.62,-6.14,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/MAXHEALTHEQN.svg,https://nsearchives.nseindia.com/30d/MAXHEALTH-EQ.svg,https://nsearchives.nseindia.com/365d/MAXHEALTH-EQ.svg,
INOXWIND,,EQ,148.62,150,146.11,149,148.56,0.44,0.3,7289866,1079629154.6,211.71,129.03,29.620707571678242,-15.477020847864837,-21.75,1.26,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/INOXWINDEQN.svg,https://nsearchives.nseindia.com/30d/INOXWIND-EQ.svg,https://nsearchives.nseindia.com/365d/INOXWIND-EQ.svg,
LAURUSLABS,,EQ,1001.2,1014.4,992.95,1000,997.05,2.95,0.3,1785705,1793258532.15,1014.4,474.05,1.419558359621449,-110.9482122139015,105.56,14.45,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/LAURUSLABSEQN.svg,https://nsearchives.nseindia.com/30d/LAURUSLABS-EQ.svg,https://nsearchives.nseindia.com/365d/LAURUSLABS-EQ.svg,
IREDA,,EQ,149.51,150.95,148.31,149.7,149.29,0.41,0.27,5447973,814689882.42,234.29,137.01,36.1048273507192,-9.26209765710532,-21.2,-2.3,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/IREDAEQN.svg,https://nsearchives.nseindia.com/30d/IREDA-EQ.svg,https://nsearchives.nseindia.com/365d/IREDA-EQ.svg,
HFCL,,EQ,75.5,76.68,75.13,75.88,75.69,0.19,0.25,6635718,503385567.48,135.93,68.56,44.17715000367837,-10.676779463243864,-40.22,-1.89,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/HFCLEQN.svg,https://nsearchives.nseindia.com/30d/HFCL-EQ.svg,https://nsearchives.nseindia.com/365d/HFCL-EQ.svg,
HDFCBANK,,EQ,976.05,991.65,976.05,989,986.65,2.35,0.24,21386965,21064877307.1,1020.5,812.15,3.0867221950024497,-21.775534076217454,-41.54,-0.48,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/HDFCBANKEQN.svg,https://nsearchives.nseindia.com/30d/HDFCBANK-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCBANK-EQ.svg,
IRFC,,EQ,120.68,121.99,120.4,121.04,120.75,0.29,0.24,5135998,621763917.88,166.9,108.04,27.477531455961653,-12.03258052573121,-13.35,-2.97,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/IRFCEQN.svg,https://nsearchives.nseindia.com/30d/IRFC-EQ.svg,https://nsearchives.nseindia.com/365d/IRFC-EQ.svg,
BHARTIARTL,,EQ,2090,2107.9,2081.9,2096.8,2091.8,5.0,0.24,6312655,13193890835.85,2135.6,1511,1.8168196291440217,-38.76902713434812,35.49,6.78,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/BHARTIARTLEQN.svg,https://nsearchives.nseindia.com/30d/BHARTIARTL-EQ.svg,https://nsearchives.nseindia.com/365d/BHARTIARTL-EQ.svg,
YESBANK,,EQ,22.48,22.6,22.36,22.53,22.48,0.05,0.22,50842831,1142946840.88,24.3,16.02,7.283950617283948,-40.636704119850194,16.52,-2.68,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/YESBANKEQN.svg,https://nsearchives.nseindia.com/30d/YESBANK-EQ.svg,https://nsearchives.nseindia.com/365d/YESBANK-EQ.svg,
SUZLON,,EQ,57.5,58.29,57.03,57.7,57.58,0.12,0.21,41214942,2376453555.72,74.3,46.15,22.341857335127855,-25.027085590465884,1.67,7.59,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/SUZLONEQN.svg,https://nsearchives.nseindia.com/30d/SUZLON-EQ.svg,https://nsearchives.nseindia.com/365d/SUZLON-EQ.svg,
PNBHOUSING,,EQ,912,923.85,907.85,914.4,912.55,1.85,0.2,541570,496581780.1,1141.9,746.7,19.922935458446457,-22.45881880273201,1.26,8.54,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/PNBHOUSINGEQN.svg,https://nsearchives.nseindia.com/30d/PNBHOUSING-EQ.svg,https://nsearchives.nseindia.com/365d/PNBHOUSING-EQ.svg,
TCS,,EQ,3090,3113.1,3077.3,3112,3105.7,6.3,0.2,2210794,6843159099.96,4494.9,2866.6,30.76597922089479,-8.560664201493061,-25.08,4.55,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/TCSEQN.svg,https://nsearchives.nseindia.com/30d/TCS-EQ.svg,https://nsearchives.nseindia.com/365d/TCS-EQ.svg,
BHEL,,EQ,281.5,284.5,279.8,282.05,281.5,0.55,0.2,11786151,3331237718.64,290.9,176,3.0422825713303427,-60.25568181818183,25.88,19.24,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/BHELEQN.svg,https://nsearchives.nseindia.com/30d/BHEL-EQ.svg,https://nsearchives.nseindia.com/365d/BHEL-EQ.svg,
UPL,,EQ,755,766.35,754.1,759.5,758.15,1.35,0.18,2148563,1629770978.02,767.8,484.9,1.0810106798645422,-56.63023303773975,44.28,11.49,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/UPLEQN.svg,https://nsearchives.nseindia.com/30d/UPL-EQ.svg,https://nsearchives.nseindia.com/365d/UPL-EQ.svg,
FEDERALBNK,,EQ,235.4,237.19,235.08,236.22,235.79,0.43,0.18,3078306,727095877.2,239.91,172.66,1.5380767787920462,-36.81223213251477,19.94,10.14,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/FEDERALBNKEQN.svg,https://nsearchives.nseindia.com/30d/FEDERALBNK-EQ.svg,https://nsearchives.nseindia.com/365d/FEDERALBNK-EQ.svg,
PPLPHARMA,,EQ,193.84,197.99,193.1,194.13,193.84,0.29,0.15,2531346,494852829.54,283.9,181.73,31.62028883409651,-6.823309305012934,-24.93,-0.07,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/PPLPHARMAEQN.svg,https://nsearchives.nseindia.com/30d/PPLPHARMA-EQ.svg,https://nsearchives.nseindia.com/365d/PPLPHARMA-EQ.svg,
HAVELLS,,EQ,1463.2,1473,1453.6,1468.2,1466.1,2.1,0.14,247053,362088288.39,1782.65,1381.3,17.6394693293692,-6.291174980091225,-9.23,-0.43,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/HAVELLSEQN.svg,https://nsearchives.nseindia.com/30d/HAVELLS-EQ.svg,https://nsearchives.nseindia.com/365d/HAVELLS-EQ.svg,
LICHSGFIN,,EQ,566,570,564.6,568.5,567.9,0.6,0.11,824463,467181958.95,648.9,483.7,12.390198797965786,-17.53152780649163,-6.65,-0.28,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/LICHSGFINEQN.svg,https://nsearchives.nseindia.com/30d/LICHSGFIN-EQ.svg,https://nsearchives.nseindia.com/365d/LICHSGFIN-EQ.svg,
LUPIN,,EQ,2053.9,2069.2,2035.8,2054.7,2052.9,1.8,0.09,591657,1214086080.57,2402.9,1795.2,14.490823588164313,-14.455213903743303,1.96,5.34,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/LUPINEQN.svg,https://nsearchives.nseindia.com/30d/LUPIN-EQ.svg,https://nsearchives.nseindia.com/365d/LUPIN-EQ.svg,
CHOLAFIN,,EQ,1710.6,1726.9,1705.1,1712,1710.6,1.4,0.08,912397,1563602110.81,1782,1168,3.9281705948372614,-46.57534246575342,42.21,2.79,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/CHOLAFINEQN.svg,https://nsearchives.nseindia.com/30d/CHOLAFIN-EQ.svg,https://nsearchives.nseindia.com/365d/CHOLAFIN-EQ.svg,
GAIL,,EQ,183,184.03,182.07,183.8,183.67,0.13,0.07,5496277,1005433951.61,213.4,150.52,13.870665417057166,-22.11001860217911,-2.9,2.37,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/GAILEQN.svg,https://nsearchives.nseindia.com/30d/GAIL-EQ.svg,https://nsearchives.nseindia.com/365d/GAIL-EQ.svg,
KEI,,EQ,4130,4130,4072.2,4116,4113.6,2.4,0.06,71271,292972274.28,4706,2424,12.537186570335741,-69.8019801980198,7.89,-1.43,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/KEIEQN.svg,https://nsearchives.nseindia.com/30d/KEI-EQ.svg,https://nsearchives.nseindia.com/365d/KEI-EQ.svg,
GMRAIRPORT,,EQ,97.65,99.19,94.65,95.55,95.49,0.06,0.06,28366853,2740805336.86,99.19,67.75,3.6697247706422025,-41.033210332103316,0.0,5.28,,16-Oct-2025,https://nsearchives.nseindia.com/today/GMRAIRPORTEQN.svg,https://nsearchives.nseindia.com/30d/GMRAIRPORT-EQ.svg,https://nsearchives.nseindia.com/365d/GMRAIRPORT-EQ.svg,
COLPAL,,EQ,2174,2178.6,2165,2175.4,2174,1.4,0.06,96584,209663581.36,3115,2151,30.163723916532902,-1.1343561134356155,-19.8,-4.95,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/COLPALEQN.svg,https://nsearchives.nseindia.com/30d/COLPAL-EQ.svg,https://nsearchives.nseindia.com/365d/COLPAL-EQ.svg,
APLAPOLLO,,EQ,1769,1777.8,1737,1766.1,1765.4,0.7,0.04,273177,480949962.66,1936,1272.7,8.775826446280995,-38.767973599434264,19.91,2.04,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/APLAPOLLOEQN.svg,https://nsearchives.nseindia.com/30d/APLAPOLLO-EQ.svg,https://nsearchives.nseindia.com/365d/APLAPOLLO-EQ.svg,
ICICIPRULI,,EQ,630.1,633.85,625.05,630.35,630.1,0.25,0.04,652101,410138923.95,704.7,525.8,10.550588903079326,-19.883986306580464,-9.29,7.23,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/ICICIPRULIEQN.svg,https://nsearchives.nseindia.com/30d/ICICIPRULI-EQ.svg,https://nsearchives.nseindia.com/365d/ICICIPRULI-EQ.svg,
JSWENERGY,,EQ,525.05,531.75,522.55,528.5,528.3,0.2,0.04,1755919,927019876.86,774.9,418.75,31.79765130984643,-26.208955223880597,-27.76,-3.61,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/JSWENERGYEQN.svg,https://nsearchives.nseindia.com/30d/JSWENERGY-EQ.svg,https://nsearchives.nseindia.com/365d/JSWENERGY-EQ.svg,
LT,,EQ,4002,4011.5,3971.6,4004,4002.5,1.5,0.04,1916910,7657020318.6,4062.6,2965.3,1.4424260325899647,-35.02849627356422,13.56,3.69,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/LTEQN.svg,https://nsearchives.nseindia.com/30d/LT-EQ.svg,https://nsearchives.nseindia.com/365d/LT-EQ.svg,
CDSL,,EQ,1626,1648.8,1616,1627,1626.3,0.7,0.04,1521310,2482671428.3,1989.8,1047.45,18.23298824002412,-55.329610005250835,10.39,0.34,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/CDSLEQN.svg,https://nsearchives.nseindia.com/30d/CDSL-EQ.svg,https://nsearchives.nseindia.com/365d/CDSL-EQ.svg,
ZYDUSLIFE,,EQ,948.85,952.95,939.5,944.5,944.15,0.35,0.04,592731,560450869.74,1059.05,795,10.816297625230156,-18.80503144654088,-1.35,-4.08,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/ZYDUSLIFEEQN.svg,https://nsearchives.nseindia.com/30d/ZYDUSLIFE-EQ.svg,https://nsearchives.nseindia.com/365d/ZYDUSLIFE-EQ.svg,
GRASIM,,EQ,2777.2,2790,2761,2778.6,2777.8,0.8,0.03,510972,1420583915.52,2977.8,2276.95,6.689502317146896,-22.03166516612135,10.28,-2.67,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/GRASIMEQN.svg,https://nsearchives.nseindia.com/30d/GRASIM-EQ.svg,https://nsearchives.nseindia.com/365d/GRASIM-EQ.svg,
TATACONSUM,,EQ,1149,1163.6,1146.8,1155,1154.8,0.2,0.02,1832598,2120572449.72,1202.8,882.9,3.9740605254406347,-30.8188922867822,25.17,0.74,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/TATACONSUMEQN.svg,https://nsearchives.nseindia.com/30d/TATACONSUM-EQ.svg,https://nsearchives.nseindia.com/365d/TATACONSUM-EQ.svg,
OIL,,EQ,435.95,439.6,431.05,434.5,434.45,0.05,0.01,1413722,617499632.38,529,325,17.86389413988658,-33.69230769230769,-8.12,4.7,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/OILEQN.svg,https://nsearchives.nseindia.com/30d/OIL-EQ.svg,https://nsearchives.nseindia.com/365d/OIL-EQ.svg,
DLF,,EQ,766,767.4,757.4,764.9,764.8,0.1,0.01,1171600,892618608.0,896.6,601.2,14.688824447914346,-27.228875582168982,0.28,-0.63,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/DLFEQN.svg,https://nsearchives.nseindia.com/30d/DLF-EQ.svg,https://nsearchives.nseindia.com/365d/DLF-EQ.svg,
M&M,,EQ,3700,3716.8,3660.5,3698,3699.5,-1.5,-0.04,1847028,6823253897.04,3781,2425,2.1951864586088337,-52.49484536082474,31.75,3.87,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/M&MEQN.svg,https://nsearchives.nseindia.com/30d/M&M-EQ.svg,https://nsearchives.nseindia.com/365d/M&M-EQ.svg,
TATAPOWER,,EQ,388.8,390,385.15,388.6,388.8,-0.2,-0.05,5263918,2041768513.84,447.7,326.35,13.200804109895012,-19.074613145396047,-4.02,-2.66,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/TATAPOWEREQN.svg,https://nsearchives.nseindia.com/30d/TATAPOWER-EQ.svg,https://nsearchives.nseindia.com/365d/TATAPOWER-EQ.svg,
INDIANB,,EQ,868.05,873.9,862,869.05,869.45,-0.4,-0.05,1111820,964048003.8,887.8,473.9,2.1119621536382067,-83.38257016248154,61.74,12.63,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/INDIANBEQN.svg,https://nsearchives.nseindia.com/30d/INDIANB-EQ.svg,https://nsearchives.nseindia.com/365d/INDIANB-EQ.svg,
RECLTD,,EQ,359.05,362.65,356.65,358.8,359.05,-0.25,-0.07,5905363,2120497746.04,573.3,348.6,37.41496598639455,-2.925989672977621,-28.72,-5.15,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/RECLTDEQN.svg,https://nsearchives.nseindia.com/30d/RECLTD-EQ.svg,https://nsearchives.nseindia.com/365d/RECLTD-EQ.svg,
WIPRO,,EQ,243.92,245.9,242.15,245.15,245.33,-0.18,-0.07,6841554,1666534138.86,324.6,228,24.47627849661122,-7.521929824561406,-56.88,-3.72,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/WIPROEQN.svg,https://nsearchives.nseindia.com/30d/WIPRO-EQ.svg,https://nsearchives.nseindia.com/365d/WIPRO-EQ.svg,
NCC,,EQ,184.18,185.63,182.01,184.01,184.18,-0.17,-0.09,3449729,634819130.58,326.45,170.05,43.633021902282124,-8.209350191120246,-34.24,-12.23,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/NCCEQN.svg,https://nsearchives.nseindia.com/30d/NCC-EQ.svg,https://nsearchives.nseindia.com/365d/NCC-EQ.svg,
HCLTECH,,EQ,1590,1598,1574.1,1596.9,1598.5,-1.6,-0.1,2543918,4040581276.94,2012.2,1302.75,20.639101480966104,-22.579159470351186,-14.22,5.25,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/HCLTECHEQN.svg,https://nsearchives.nseindia.com/30d/HCLTECH-EQ.svg,https://nsearchives.nseindia.com/365d/HCLTECH-EQ.svg,
ALKEM,,EQ,5800.5,5808.5,5607.5,5720,5725.5,-5.5,-0.1,383633,2185407584.13,5868,4491.65,2.522154055896387,-27.347411307648645,3.58,3.59,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/ALKEMEQN.svg,https://nsearchives.nseindia.com/30d/ALKEM-EQ.svg,https://nsearchives.nseindia.com/365d/ALKEM-EQ.svg,
CGPOWER,,EQ,740.3,751.65,738.95,744,745.2,-1.2,-0.16,1635386,1218068200.52,811.4,517.7,8.306630515158982,-43.71257485029939,6.96,-2.25,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/CGPOWEREQN.svg,https://nsearchives.nseindia.com/30d/CGPOWER-EQ.svg,https://nsearchives.nseindia.com/365d/CGPOWER-EQ.svg,
POWERINDIA,,EQ,21380,21619,21315,21379,21415,-36.0,-0.17,62139,1334017450.92,22090,8801,3.2186509732910817,-142.9155777752528,82.19,21.28,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/POWERINDIAEQN.svg,https://nsearchives.nseindia.com/30d/POWERINDIA-EQ.svg,https://nsearchives.nseindia.com/365d/POWERINDIA-EQ.svg,
ABCAPITAL,,EQ,330.25,334.15,328.25,331.2,331.8,-0.6,-0.18,1639627,543306802.72,345.4,149.01,4.111175448755064,-122.2669619488625,75.42,10.47,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/ABCAPITALEQN.svg,https://nsearchives.nseindia.com/30d/ABCAPITAL-EQ.svg,https://nsearchives.nseindia.com/365d/ABCAPITAL-EQ.svg,
INDIGO,,EQ,5900,5935,5864,5895,5905.5,-10.5,-0.18,643970,3795365989.0,6232.5,3830,5.415162454873646,-53.91644908616188,51.84,0.47,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/INDIGOEQN.svg,https://nsearchives.nseindia.com/30d/INDIGO-EQ.svg,https://nsearchives.nseindia.com/365d/INDIGO-EQ.svg,
GODREJPROP,,EQ,2205.8,2218.5,2176,2202,2206.1,-4.1,-0.19,272597,598366770.82,3015.9,1900,26.98696906396101,-15.894736842105264,-15.39,-0.43,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/GODREJPROPEQN.svg,https://nsearchives.nseindia.com/30d/GODREJPROP-EQ.svg,https://nsearchives.nseindia.com/365d/GODREJPROP-EQ.svg,
DMART,,EQ,4060,4069.2,4020,4053,4062.5,-9.5,-0.23,305911,1237003133.37,4949.5,3340,18.112940701080916,-21.347305389221557,6.01,-6.08,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/DMARTEQN.svg,https://nsearchives.nseindia.com/30d/DMART-EQ.svg,https://nsearchives.nseindia.com/365d/DMART-EQ.svg,
CAMS,,EQ,3911.2,3988,3906.9,3934,3944,-10.0,-0.25,218668,864998127.68,5367.5,3031.05,26.707033069399163,-29.790006763332833,-14.05,2.8,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/CAMSEQN.svg,https://nsearchives.nseindia.com/30d/CAMS-EQ.svg,https://nsearchives.nseindia.com/365d/CAMS-EQ.svg,
BAJAJ-AUTO,,EQ,8867.5,8867.5,8781.5,8845,8867.5,-22.5,-0.25,550371,4848757502.58,9710,7089.35,8.908341915550979,-24.764611706291827,-6.75,-3.37,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/BAJAJ-AUTOEQN.svg,https://nsearchives.nseindia.com/30d/BAJAJ-AUTO-EQ.svg,https://nsearchives.nseindia.com/365d/BAJAJ-AUTO-EQ.svg,
MARUTI,,EQ,15725,15735,15572,15708,15749,-41.0,-0.26,253698,3970444735.44,16660,10725,5.714285714285714,-46.46153846153846,42.5,-3.77,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/MARUTIEQN.svg,https://nsearchives.nseindia.com/30d/MARUTI-EQ.svg,https://nsearchives.nseindia.com/365d/MARUTI-EQ.svg,
PIIND,,EQ,3571,3571,3512,3563,3572.5,-9.5,-0.27,167191,593409344.39,4553.35,2951.1,21.749920388285553,-20.7346413201857,-16.52,0.29,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/PIINDEQN.svg,https://nsearchives.nseindia.com/30d/PIIND-EQ.svg,https://nsearchives.nseindia.com/365d/PIIND-EQ.svg,
APOLLOHOSP,,EQ,7440,7467,7375,7419,7440.5,-21.5,-0.29,218565,1620633247.2,8099.5,6001,8.401753194641644,-23.62939510081653,8.16,-5.27,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/APOLLOHOSPEQN.svg,https://nsearchives.nseindia.com/30d/APOLLOHOSP-EQ.svg,https://nsearchives.nseindia.com/365d/APOLLOHOSP-EQ.svg,
PRESTIGE,,EQ,1750,1758.8,1703.5,1749,1755.2,-6.2,-0.35,701183,1215227269.13,1900,1048.05,7.947368421052632,-66.88135108057821,12.78,2.83,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/PRESTIGEEQN.svg,https://nsearchives.nseindia.com/30d/PRESTIGE-EQ.svg,https://nsearchives.nseindia.com/365d/PRESTIGE-EQ.svg,
SBICARD,,EQ,877.65,886.8,867.1,874.4,877.65,-3.25,-0.37,1863347,1631937936.07,1027.25,663.05,14.87953273302507,-31.87542417615565,28.04,-6.41,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/SBICARDEQN.svg,https://nsearchives.nseindia.com/30d/SBICARD-EQ.svg,https://nsearchives.nseindia.com/365d/SBICARD-EQ.svg,
PERSISTENT,,EQ,6100,6136.5,6034,6112,6137,-25.0,-0.41,198063,1205468856.27,6788.9,4148.95,9.97068744568339,-47.31438074693598,6.78,4.44,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/PERSISTENTEQN.svg,https://nsearchives.nseindia.com/30d/PERSISTENT-EQ.svg,https://nsearchives.nseindia.com/365d/PERSISTENT-EQ.svg,
NESTLEIND,,EQ,1275.2,1279,1262.4,1269.7,1275.2,-5.5,-0.43,675047,857201682.48,1311.6,1055,3.1945715157059977,-20.35071090047394,-41.74,-0.39,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/NESTLEINDEQN.svg,https://nsearchives.nseindia.com/30d/NESTLEIND-EQ.svg,https://nsearchives.nseindia.com/365d/NESTLEIND-EQ.svg,
NUVAMA,,EQ,7409,7417,7285.5,7341,7372.5,-31.5,-0.43,74551,545877332.2,8508.5,4735.45,13.721572545101957,-55.02222597641197,9.1,1.58,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/NUVAMAEQN.svg,https://nsearchives.nseindia.com/30d/NUVAMA-EQ.svg,https://nsearchives.nseindia.com/365d/NUVAMA-EQ.svg,
KALYANKJIL,,EQ,500,501.4,491,496.5,498.75,-2.25,-0.45,2174899,1079402373.7,795.4,399.4,37.578576816696,-24.311467200801207,-24.22,1.71,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/KALYANKJILEQN.svg,https://nsearchives.nseindia.com/30d/KALYANKJIL-EQ.svg,https://nsearchives.nseindia.com/365d/KALYANKJIL-EQ.svg,
COFORGE,,EQ,1801,1805,1756,1802,1810.2,-8.2,-0.45,1575511,2808805255.69,2005.36,1194.01,10.140822595444204,-50.92000904515037,-77.71,2.16,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/COFORGEEQN.svg,https://nsearchives.nseindia.com/30d/COFORGE-EQ.svg,https://nsearchives.nseindia.com/365d/COFORGE-EQ.svg,
HAL,,EQ,4747,4775,4710.1,4728.4,4751,-22.6,-0.48,681735,3227824339.2,5165,3046.05,8.45304937076477,-55.23054447563236,15.73,-2.71,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/HALEQN.svg,https://nsearchives.nseindia.com/30d/HAL-EQ.svg,https://nsearchives.nseindia.com/365d/HAL-EQ.svg,
ULTRACEMCO,,EQ,11941,11941,11786,11875,11934,-59.0,-0.49,161315,1913474974.95,13097,10047.85,9.330381003283195,-18.184487228611093,10.68,-3.92,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/ULTRACEMCOEQN.svg,https://nsearchives.nseindia.com/30d/ULTRACEMCO-EQ.svg,https://nsearchives.nseindia.com/365d/ULTRACEMCO-EQ.svg,
LODHA,,EQ,1213.1,1217,1201.5,1211.5,1217.6,-6.1,-0.5,541800,654499818.0,1531,1035.15,20.868713259307643,-17.03617833164275,-1.04,1.23,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/LODHAEQN.svg,https://nsearchives.nseindia.com/30d/LODHA-EQ.svg,https://nsearchives.nseindia.com/365d/LODHA-EQ.svg,
PAYTM,,EQ,1307.5,1315,1289,1300.9,1307.5,-6.6,-0.5,1913597,2490450815.65,1353.8,651.5,3.90751957453094,-99.67766692248658,68.92,1.98,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/PAYTMEQN.svg,https://nsearchives.nseindia.com/30d/PAYTM-EQ.svg,https://nsearchives.nseindia.com/365d/PAYTM-EQ.svg,
PATANJALI,,EQ,589.5,592.75,581.5,587.5,590.45,-2.95,-0.5,488732,286753726.36,670.33,523.33,12.356600480360424,-12.261861540519359,-68.12,-0.35,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/PATANJALIEQN.svg,https://nsearchives.nseindia.com/30d/PATANJALI-EQ.svg,https://nsearchives.nseindia.com/365d/PATANJALI-EQ.svg,
IEX,,EQ,138.45,138.8,136.57,137.75,138.45,-0.7,-0.51,2461071,338643369.6,215.4,130.26,36.04921077065924,-5.750038384768931,-14.83,2.05,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/IEXEQN.svg,https://nsearchives.nseindia.com/30d/IEX-EQ.svg,https://nsearchives.nseindia.com/365d/IEX-EQ.svg,
TECHM,,EQ,1444.2,1445.8,1422.9,1443.8,1451.4,-7.6,-0.52,1220596,1753581449.36,1807.7,1209.4,20.130552635946234,-19.38151149330245,-14.71,-1.68,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/TECHMEQN.svg,https://nsearchives.nseindia.com/30d/TECHM-EQ.svg,https://nsearchives.nseindia.com/365d/TECHM-EQ.svg,
IOC,,EQ,172.4,174.21,170.4,171.45,172.45,-1.0,-0.58,11051895,1896173625.15,174.5,110.72,1.747851002865336,-54.85007225433525,27.08,11.44,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/IOCEQN.svg,https://nsearchives.nseindia.com/30d/IOC-EQ.svg,https://nsearchives.nseindia.com/365d/IOC-EQ.svg,
SONACOMS,,EQ,487.1,489.45,477.75,486.25,489.15,-2.9,-0.59,956167,461513125.89,701,380,30.634807417974322,-27.960526315789473,-27.38,3.64,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/SONACOMSEQN.svg,https://nsearchives.nseindia.com/30d/SONACOMS-EQ.svg,https://nsearchives.nseindia.com/365d/SONACOMS-EQ.svg,
IRCTC,,EQ,709.9,709.9,702.3,705.7,709.9,-4.2,-0.59,827789,583094571.6,859.7,656,17.913225543794347,-7.576219512195129,-11.79,-1.89,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/IRCTCEQN.svg,https://nsearchives.nseindia.com/30d/IRCTC-EQ.svg,https://nsearchives.nseindia.com/365d/IRCTC-EQ.svg,
